;SUD;ALC;ATS;CAN;COC;NIC;OPI
ADHD;0.299970003;0.348165183;0.585741426;0.0189981;0.426957304;0.072392761;0.307569243
AN;0.00019998;0.00019998;0.00119988;0.00079992;0.00019998;0.00059994;0.00139986
ASD;0.405359464;0.395360464;0.157384262;0.725527447;0.793720628;0.765523448;0.510948905
BD;0.00039996;0.00119988;0.00019998;0.00119988;0.0009999;0.00019998;0.00419958
CHR;0.00719928;0.01279872;0.00119988;0.00039996;0.00259974;0.00019998;0.154584542
MDD;0.273172683;0.236776322;0.085591441;0.04339566;0.133186681;0.01739826;0.247575242
OCD;0.97790221;0.840915908;0.088391161;0.525947405;0.925507449;0.614938506;0.102189781
PTSD;0.135786421;0.112788721;0.567143286;0.182981702;0.102189781;0.03939606;0.125387461
SCZ;0.0009999;0.00019998;0.110188981;0.146585341;0.00119988;0.057994201;0.090590941
