,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.9305069493050695,0.9747025297470253,0.8677132286771323,0.0023997600239976003,0.9325067493250675,0.004399560043995601,0.19518048195180482
AN,0.00019998000199980003,0.00019998000199980003,0.0013998600139986002,0.07539246075392461,0.00019998000199980003,0.019598040195980403,0.7883211678832117
ASD,0.5941405859414058,0.5207479252074793,0.25577442255774424,0.8129187081291871,0.8553144685531446,0.44715528447155284,0.3955604439556044
BD,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.0375962403759624
CHR,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.0633936606339366
MDD,0.42475752424757524,0.414958504149585,0.063993600639936,0.0221977802219778,0.06179382061793821,0.00019998000199980003,0.208979102089791
OCD,0.008799120087991202,0.004999500049995001,0.0031996800319968005,0.126987301269873,0.0011998800119988001,0.0235976402359764,0.7429257074292571
PTSD,0.8095190480951905,0.7867213278672133,0.9595040495950405,0.7671232876712328,0.47135286471352866,0.09659034096590341,0.34056594340565943
SCZ,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.012198780121987801,0.00019998000199980003,0.00019998000199980003,0.010998900109989001
