Psychiatric_Disorder,Z_euclidean
BD,3.7190417463402357
CHR,3.7190417463402357
MDD,3.7190417463402357
SCZ,3.7190417463402357
ADHD,2.84799511094191
AN,2.3339557284854098
OCD,2.263617667861734
PTSD,1.6616132697546366
ASD,0.7601661355670524
