,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.1494850514948505,0.18038196180381963,0.3280671932806719,0.0064993500649935,0.21277872212778723,0.024397560243975602,0.14508549145085492
AN,9.999000099990002e-05,9.999000099990002e-05,0.000999900009999,0.05599440055994401,9.999000099990002e-05,0.033596640335966405,0.6227377262273772
ASD,0.21057894210578942,0.23017698230176983,0.7383261673832616,0.34626537346265374,0.1775822417758224,0.17298270172982702,0.49965003499650035
BD,0.00019998000199980003,9.999000099990002e-05,0.00039996000399960006,0.0011998800119988001,0.0004999500049995,0.00029997000299970003,0.006399360063993601
CHR,0.00029997000299970003,0.00029997000299970003,0.0005999400059994001,0.00039996000399960006,0.00029997000299970003,0.00029997000299970003,0.042195780421957804
MDD,0.2602739726027397,0.2508749125087491,0.05269473052694731,0.042495750424957505,0.130986901309869,0.015898410158984102,0.17018298170182983
OCD,0.22767723227677233,0.13158684131586842,0.023297670232976703,0.5655434456554345,0.252974702529747,0.5215478452154785,0.9158084191580842
PTSD,0.057894210578942104,0.0580941905809419,0.14758524147585242,0.07239276072392761,0.04839516048395161,0.018698130186981302,0.06009399060093991
SCZ,0.00019998000199980003,0.00019998000199980003,0.00029997000299970003,0.0044995500449955,0.00039996000399960006,0.0004999500049995,0.0008999100089991
