,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.44925507449255075,0.32326767323267674,0.6144385561443856,0.5896410358964104,0.6693330666933307,0.6418358164183582,0.39216078392160786
AN,0.010698930106989302,0.0016998300169983002,0.7876212378762124,0.0314968503149685,0.0923907609239076,0.030796920307969204,0.9694030596940306
ASD,0.31396860313968605,0.12988701129887012,0.8568143185681432,0.4794520547945205,0.6683331666833316,0.45655434456554345,0.5821417858214178
BD,0.0005999400059994001,0.0005999400059994001,0.027497250274972504,0.0005999400059994001,0.0008999100089991,0.0005999400059994001,0.6443355664433557
CHR,0.0015998400159984002,0.0011998800119988001,0.6877312268773123,0.0037996200379962005,0.020997900209979003,0.0030996900309969004,0.8671132886711329
MDD,0.000999900009999,0.00039996000399960006,0.0202979702029797,0.00039996000399960006,0.0008999100089991,0.00039996000399960006,0.5601439856014399
OCD,0.0018998100189981002,0.00019998000199980003,0.2666733326667333,0.0011998800119988001,0.011698830116988301,0.0031996800319968005,0.8968103189681031
PTSD,0.0008999100089991,0.0014998500149985001,0.10518948105189481,0.0008999100089991,0.0038996100389961006,0.0017998200179982,0.6216378362163784
SCZ,0.0006999300069993001,0.0007999200079992001,0.08289171082891711,0.0007999200079992001,0.0020997900209979003,0.0011998800119988001,0.7411258874112588
