Psychiatric_Disorder,Mean_Z_euclidean_over_SUD
BD,3.484472618055136
CHR,3.4523535597380928
SCZ,3.3777548294279662
AN,2.5993341370213088
OCD,2.247290731390477
MDD,1.7993965759733352
ADHD,0.9977536856934327
PTSD,0.5844859370290157
ASD,-0.40314417693800964
