,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.298970102989701,0.36076392360763926,0.6561343865613438,0.012998700129987,0.42555744425557446,0.048795120487951205,0.29017098290170984
AN,0.00019998000199980003,0.00019998000199980003,0.001999800019998,0.11198880111988802,0.00019998000199980003,0.06719328067193281,0.7547245275472453
ASD,0.48975102489751027,0.41875812418758124,0.267973202679732,0.7981201879812019,0.8669133086691331,0.7015298470152985,0.6055394460553944
BD,0.00039996000399960006,0.00019998000199980003,0.0007999200079992001,0.0023997600239976003,0.000999900009999,0.0005999400059994001,0.012798720127987202
CHR,0.0005999400059994001,0.0005999400059994001,0.0011998800119988001,0.0007999200079992001,0.0005999400059994001,0.0005999400059994001,0.08439156084391561
MDD,0.5205479452054794,0.5017498250174982,0.10538946105389461,0.08499150084991501,0.261973802619738,0.031796820317968204,0.34036596340365965
OCD,0.45535446455354467,0.26317368263173685,0.04659534046595341,0.8691130886911309,0.505949405059494,0.9571042895710429,0.1685831416858314
PTSD,0.11578842115788421,0.1161883811618838,0.29517048295170484,0.14478552144785523,0.09679032096790322,0.037396260373962605,0.12018798120187982
SCZ,0.00039996000399960006,0.00039996000399960006,0.0005999400059994001,0.008999100089991,0.0007999200079992001,0.000999900009999,0.0017998200179982
