Psychiatric_Disorder,Z_cosine
BD,3.7190417463402357
CHR,3.7190417463402357
SCZ,3.7190417463402357
AN,3.194679915660236
OCD,2.947873465608017
MDD,1.8522244401252388
PTSD,-0.050775957121665806
ADHD,-0.16656386412441532
ASD,-1.1364353158399778
