,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.14998500149985,0.1740825917408259,0.29287071292870714,0.009499050094990502,0.21347865213478653,0.036196380361963806,0.15378462153784622
AN,9.999000099990002e-05,9.999000099990002e-05,0.0005999400059994001,0.00039996000399960006,9.999000099990002e-05,0.00029997000299970003,0.0006999300069993001
ASD,0.2238776122387761,0.23867613238676133,0.6506349365063494,0.34056594340565943,0.1962803719628037,0.19268073192680732,0.47005299470052997
BD,0.00019998000199980003,0.0005999400059994001,9.999000099990002e-05,0.0005999400059994001,0.0004999500049995,9.999000099990002e-05,0.0020997900209979003
CHR,0.0035996400359964,0.006399360063993601,0.0005999400059994001,0.00019998000199980003,0.0012998700129987,9.999000099990002e-05,0.07729227077292271
MDD,0.13658634136586342,0.11838816118388161,0.04279572042795721,0.0216978302169783,0.0665933406659334,0.0086991300869913,0.12378762123787622
OCD,0.5111488851114888,0.42045795420457954,0.044195580441955803,0.7371262873712628,0.5373462653734626,0.6927307269273073,0.949005099490051
PTSD,0.0678932106789321,0.056394360563943605,0.28357164283571645,0.09149085091490851,0.051094890510948905,0.019698030196980302,0.06269373062693731
SCZ,0.0004999500049995,9.999000099990002e-05,0.055094490550944904,0.07329267073292671,0.0005999400059994001,0.028997100289971003,0.045295470452954706
