,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.782021797820218,0.8265173482651735,0.7239276072392761,0.8062193780621938,0.8543145685431457,0.8865113488651135,0.8698130186981302
AN,0.054894510548945105,0.009099090090990901,0.9607039296070393,0.05119488051194881,0.203979602039796,0.053894610538946106,0.9852014798520148
ASD,0.5307469253074693,0.5246475352464753,0.8828117188281172,0.7536246375362464,0.8212178782121787,0.7638236176382361,0.716028397160284
BD,0.0006999300069993001,0.017698230176982303,0.042995700429957005,0.00039996000399960006,0.0017998200179982,0.0005999400059994001,0.8465153484651535
CHR,0.15358464153584642,0.1962803719628037,0.6023397660233977,0.0011998800119988001,0.0413958604139586,0.010998900109989001,0.7813218678132187
MDD,0.0072992700729927005,0.22137786221377861,0.2268773122687731,0.00039996000399960006,0.0016998300169983002,0.0022997700229977,0.825017498250175
OCD,0.43685631436856315,0.5030496950304969,0.676032396760324,0.11588841115888411,0.3153684631536846,0.39036096390360964,0.9168083191680831
PTSD,0.1715828417158284,0.3167683231676832,0.5327467253274673,0.0014998500149985001,0.028197180281971802,0.12048795120487951,0.8787121287871212
SCZ,0.2515748425157484,0.37146285371462856,0.5595440455954405,0.0013998600139986002,0.0184981501849815,0.1521847815218478,0.8735126487351265
