Psychiatric_Disorder,Mean_Z_spearman_over_SUD
CHR,3.4754833148603055
BD,3.4301582402333954
SCZ,3.3624447874489043
AN,2.6257119196916237
OCD,2.069748600327196
MDD,1.1846361950319653
ADHD,1.154534330739222
PTSD,0.44604341329171604
ASD,-0.1008007944737561
