Psychiatric_Disorder,Z_spearman
BD,3.7190417463402357
CHR,3.7190417463402357
SCZ,3.7190417463402357
ADHD,3.0902620037960227
AN,2.604565630372853
MDD,2.5241197781417166
OCD,2.2001363821225324
ASD,1.1455659265655067
PTSD,1.126452577635019
