;SUD;ALC;ATS;CAN;COC;NIC;OPI
ADHD;0.930906909;0.97530247;0.868113189;0.00239976;0.933106689;0.00439956;0.195380462
AN;0.00019998;0.00019998;0.00139986;0.075392461;0.00019998;0.01959804;0.788321168
ASD;0.594340566;0.520747925;0.255174483;0.812918708;0.855114489;0.447155284;0.395160484
BD;0.00019998;0.00019998;0.00019998;0.00019998;0.00019998;0.00019998;0.03779622
CHR;0.00019998;0.00019998;0.00019998;0.00019998;0.00019998;0.00019998;0.063993601
MDD;0.424757524;0.414958504;0.063993601;0.02219778;0.061793821;0.00019998;0.208979102
OCD;0.00879912;0.0049995;0.00319968;0.126987301;0.00119988;0.02359764;0.743125687
PTSD;0.809519048;0.787121288;0.95950405;0.767123288;0.471352865;0.096590341;0.340565943
SCZ;0.00019998;0.00019998;0.00019998;0.01219878;0.00019998;0.00019998;0.0109989
