Psychiatric_Disorder,Mean_Z_cosine_over_SUD
BD,3.4847828867644908
CHR,3.4529529811548065
SCZ,3.3777548294279662
AN,2.5993341370213088
OCD,2.24732851370496
MDD,1.7993965759733352
ADHD,0.997620519639009
PTSD,0.5845602124196037
ASD,-0.40284121635540593
