,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.9079092090790921,0.9827017298270173,0.6655334466553344,0.0033996600339966003,0.7767223277672233,0.001999800019998,0.21037896210378962
AN,0.00019998000199980003,0.00019998000199980003,0.0105989401059894,0.025197480251974803,0.00019998000199980003,0.0091990800919908,0.8605139486051395
ASD,0.8387161283871613,0.8617138286171383,0.48395160483951605,0.8245175482451755,0.7581241875812419,0.251974802519748,0.38996100389961
BD,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.0025997400259974,0.00019998000199980003,0.00019998000199980003,0.016198380161983803
CHR,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,0.043995600439956005
MDD,0.8385161483851615,0.7667233276672333,0.12538746125387462,0.11818818118188182,0.33756624337566243,0.0115988401159884,0.22477752224777522
OCD,0.05779422057794221,0.019598040195980403,0.0027997200279972004,0.1501849815018498,0.006199380061993801,0.027797220277972202,0.37236276372362764
PTSD,0.8135186481351865,0.7663233676632337,0.9233076692330767,0.8205179482051795,0.6143385661433857,0.25997400259974,0.5249475052494751
SCZ,0.00019998000199980003,0.00019998000199980003,0.0005999400059994001,0.0165983401659834,0.00019998000199980003,0.00019998000199980003,0.0045995400459954
