Psychiatric_Disorder,Z_Stouffer
BD,5.7426976093574975
CHR,4.262792137010185
MDD,4.254908342264213
SCZ,4.220464487139104
OCD,4.2057504850489495
PTSD,1.5431228836894215
AN,1.5287181292225989
ADHD,0.5959032638894428
ASD,-2.3852349369884243
