,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.9077092290770923,0.9965003499650035,0.6577342265773423,0.006799320067993201,0.8057194280571943,0.004999500049995001,0.22377762223777622
AN,0.00019998000199980003,0.00019998000199980003,0.015598440155984402,0.036996300369963,0.00019998000199980003,0.0025997400259974,0.8749125087491251
ASD,0.8357164283571643,0.8437156284371563,0.49375062493750627,0.7971202879712029,0.7963203679632037,0.33336666333366666,0.28957104289571045
BD,0.00019998000199980003,0.00019998000199980003,0.0017998200179982,0.003999600039996,0.0011998800119988001,0.000999900009999,0.0023997600239976003
CHR,0.00039996000399960006,0.00039996000399960006,0.0011998800119988001,0.0013998600139986002,0.0005999400059994001,0.00039996000399960006,0.009799020097990201
MDD,0.8003199680031997,0.7251274872512748,0.10938906109389061,0.09619038096190381,0.276972302769723,0.0463953604639536,0.14278572142785723
OCD,0.006399360063993601,0.003999600039996,0.0031996800319968005,0.06459354064593541,0.0059994000599940004,0.051794820517948204,0.2233776622337766
PTSD,0.7547245275472453,0.7167283271672833,0.8685131486851315,0.7663233676632337,0.5787421257874212,0.27817218278172184,0.43995600439956006
SCZ,0.0005999400059994001,0.0005999400059994001,0.0007999200079992001,0.005599440055994401,0.0005999400059994001,0.0007999200079992001,0.0011998800119988001
