,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD,0.45385461453854614,0.49825017498250174,0.32886711328867113,0.0033996600339966003,0.40285971402859716,0.0024997500249975004,0.11188881111888811
AN,9.999000099990002e-05,9.999000099990002e-05,0.007799220077992201,0.0184981501849815,9.999000099990002e-05,0.0012998700129987,0.5626437356264373
ASD,0.5061493850614939,0.47335266473352666,0.8619138086191381,0.6163383661633837,0.2578742125787421,0.23057694230576942,0.7674232576742326
BD,9.999000099990002e-05,9.999000099990002e-05,0.0008999100089991,0.001999800019998,0.0005999400059994001,0.0004999500049995,0.0011998800119988001
CHR,0.00019998000199980003,0.00019998000199980003,0.0005999400059994001,0.0006999300069993001,0.00029997000299970003,0.00019998000199980003,0.004899510048995101
MDD,0.40015998400159986,0.3625637436256374,0.05469453054694531,0.048095190480951906,0.1384861513848615,0.0231976802319768,0.07139286071392861
OCD,0.0031996800319968005,0.001999800019998,0.0015998400159984002,0.032296770322967704,0.0029997000299970002,0.025897410258974102,0.1116888311168883
PTSD,0.37736226377362264,0.35836416358364165,0.43425657434256576,0.38316168383161686,0.2893710628937106,0.13908609139086092,0.21997800219978003
SCZ,0.00029997000299970003,0.00029997000299970003,0.00039996000399960006,0.0027997200279972004,0.00029997000299970003,0.00039996000399960006,0.0005999400059994001
