,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.47535246475352466,0.5525447455254474,0.9445055494450555,0.5143485651434857,0.054594540545945404,0.0443955604439556,0.7883211678832117
ADHD_ado,0.0811918808119188,0.017998200179982,0.6299370062993701,0.9401059894010599,0.0245975402459754,0.40235976402359763,0.5641435856414359
CD,0.1693830616938306,0.11578842115788421,0.7197280271972802,0.24177582241775822,0.0173982601739826,0.013398660133986601,0.0837916208379162
OCD,0.1065893410658934,0.0765923407659234,0.6521347865213478,0.6783321667833216,0.1391860813918608,0.9261073892610739,0.0765923407659234
