,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.8898110188981102,0.8843115688431157,0.7938206179382061,0.9212078792120788,0.9359064093590641,0.9461053894610539,0.8409159084091591
ADHD_ado,0.29717028297170284,0.5592440755924407,0.039696030396960305,0.0025997400259974,0.034996500349965,0.21697830216978303,0.8543145685431457
ASD,0.9581041895810419,0.942905709429057,0.9223077692230777,0.9926007399260074,0.9815018498150185,0.9819018098190181,0.2343765623437656
CD,0.0658934106589341,0.24647535246475352,0.7791220877912208,0.0100989901009899,0.12038796120387961,0.038196180381961806,0.9696030396960303
OCD,0.8898110188981102,0.8843115688431157,0.7938206179382061,0.9212078792120788,0.9359064093590641,0.9461053894610539,0.8409159084091591
