,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.8674132586741325,0.7708229177082292,0.6912308769123088,0.8877112288771123,0.896010398960104,0.9171082891710829,0.29017098290170984
ADHD_ado,0.0374962503749625,0.096990300969903,0.0117988201179882,0.0230976902309769,0.043195680431956804,0.044995500449955005,0.34806519348065196
ASD,0.9994000599940006,0.9953004699530047,0.9582041795820418,0.9998000199980002,0.9996000399960004,0.9998000199980002,0.27817218278172184
CD,0.020997900209979003,0.012998700129987,0.541045895410459,0.0198980101989801,0.09479052094790522,0.027997200279972004,0.9342065793420657
OCD,0.8674132586741325,0.7708229177082292,0.6912308769123088,0.8877112288771123,0.896010398960104,0.9171082891710829,0.29017098290170984
