,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.8802119788021198,0.8769123087691231,0.38106189381061895,0.7689231076892311,0.5622437756224378,0.9466053394660534,0.6129387061293871
ADHD_ado,0.056894310568943104,0.3491650834916508,0.07029297070292971,0.0018998100189981002,0.1648835116488351,0.041995800419958006,0.6446355364463554
ASD,0.8553144685531446,0.7608239176082392,0.7123287671232876,0.993000699930007,0.8704129587041296,0.9834016598340166,0.145985401459854
CD,0.11428857114288571,0.21687831216878312,0.7095290470952905,0.0033996600339966003,0.26377362263773624,0.03899610038996101,0.9671032896710329
OCD,0.8802119788021198,0.8769123087691231,0.38106189381061895,0.7689231076892311,0.5622437756224378,0.9466053394660534,0.6129387061293871
