,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.1277872212778722,0.18388161183881613,0.5316468353164684,0.18188181181881813,0.024397560243975602,0.051794820517948204,0.32866713328667135
ADHD_ado,0.9737026297370263,0.9944005599440056,0.6996300369963003,0.5537446255374463,0.9781021897810219,0.7602239776022398,0.25377462253774624
ASD,0.5368463153684632,0.5888411158884111,0.648035196480352,0.591940805919408,0.2683731626837316,0.271972802719728,0.7132286771322868
CD,0.7711228877112288,0.7329267073292671,0.8979102089791021,0.5462453754624538,0.6977302269773022,0.5795420457954205,0.12518748125187482
OCD,0.05119488051194881,0.054594540545945404,0.30656934306569344,0.23757624237576241,0.0193980601939806,0.051394860513948606,0.47905209479052097
