,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.24177582241775822,0.36336366363363665,0.9353064693530647,0.35636436356364365,0.04999500049995,0.10378962103789621,0.6517348265173483
ADHD_ado,0.0603939606039396,0.014798520147985201,0.624937506249375,0.9077092290770923,0.048995100489951,0.5001499850014999,0.4941505849415059
CD,0.036196380361963806,0.039996000399960006,0.7295270472952705,0.17998200179982002,0.061193880611938804,0.051594840515948405,0.011998800119988001
OCD,0.1847815218478152,0.1337866213378662,0.7291270872912708,0.7351264873512648,0.1787821217878212,0.922107789221078,0.10718928107189281
