,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.5245475452454754,0.5705429457054294,0.8733126687331267,0.5523447655234477,0.09059094090590941,0.0805919408059194,0.3865613438656134
ADHD_ado,0.0913908609139086,0.033596640335966405,0.5343465653434657,0.8603139686031397,0.048995100489951,0.46055394460553944,0.39936006399360063
CD,0.031996800319968,0.016198380161983803,0.04179582041795821,0.18318168183181682,0.00019998000199980003,0.03519648035196481,0.127987201279872
OCD,0.0585941405859414,0.0453954604539546,0.3631636836316368,0.7431256874312568,0.1371862813718628,0.83991600839916,0.04459554044595541
