,SUD,ALC,ATS,CAN,COC,NIC,OPI
ADHD_ch,0.8271172882711729,0.7885211478852114,0.44715528447155284,0.8995100489951005,0.7153284671532847,0.7225277472252775,0.7729227077292271
ADHD_ado,0.5077492250774922,0.3351664833516648,0.9179082091790821,0.5653434656534346,0.6777322267773223,0.8919108089191081,0.44895510448955106
CD,0.268973102689731,0.2211778822117788,0.1581841815818418,0.5111488851114888,0.1917808219178082,0.41355864413558646,0.24917508249175083
OCD,0.272972702729727,0.2181781821817818,0.7913208679132087,0.6177382261773823,0.8833116688331167,0.36276372362763726,0.06679332066793321
