cluster,gradient,r,p_spin,p_brainsmash,p_fdr_spin,p_fdr_brainsmash,sig
Psychotic,C2,-0.4192719422231301,0.0164983501649835,0.23877612238776122,0.032996700329967,0.3183681631836816,False
Psychotic,C3,-0.6437411945030984,0.00019998000199980003,9.999000099990002e-05,0.0007999200079992001,0.00026664000266640004,True
AN/OCD,C2,-0.39719704136953704,0.32286771322867713,0.3073692630736926,0.32286771322867713,0.3512791577985058,False
AN/OCD,C3,-0.5699095388425802,0.00019998000199980003,9.999000099990002e-05,0.0007999200079992001,0.00026664000266640004,True
Mood/Anxiety,C2,-0.3838246425119345,0.0375962403759624,0.2328767123287671,0.05092824050928241,0.3183681631836816,False
Mood/Anxiety,C3,-0.5834978850342897,0.0005999400059994001,9.999000099990002e-05,0.0015998400159984002,0.00026664000266640004,True
Neurodevelopmental,C2,-0.22886198291200244,0.21237876212378762,0.5364463553644635,0.24271858528432871,0.5364463553644635,False
Neurodevelopmental,C3,-0.3202426881480913,0.038196180381961806,0.006799320067993201,0.05092824050928241,0.013598640135986401,False
