region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_57,-0.20866666666666667,-0.215,-0.21183333333333332,49.252557041699454
CTX_58,-0.214,-0.18333333333333335,-0.19866666666666666,53.85906040268457
CTX_59,-0.09566666666666666,-0.18000000000000002,-0.13783333333333334,34.703748488512694
CTX_60,-0.2323333333333333,-0.17333333333333334,-0.2028333333333333,57.27198027937551
CTX_61,-0.24766666666666667,-0.24166666666666667,-0.24466666666666667,50.61307901907357
CTX_62,-0.16566666666666666,-0.20666666666666667,-0.18616666666666665,44.494180841539844
CTX_63,-0.26066666666666666,-0.22666666666666668,-0.24366666666666667,53.48837209302325
CTX_64,-0.22333333333333336,-0.2283333333333333,-0.22583333333333333,49.44649446494466
CTX_65,-0.12966666666666668,-0.09166666666666666,-0.11066666666666666,58.5843373493976
CTX_66,-0.125,-0.19499999999999998,-0.15999999999999998,39.06250000000001
CTX_67,-0.16033333333333333,-0.12333333333333335,-0.14183333333333334,56.52173913043478
CTX_68,-0.2446666666666667,-0.16,-0.20233333333333337,60.46128500823723
L_Thalamus,-0.16666666666666666,-0.11666666666666668,-0.14166666666666666,58.82352941176471
L_Caudate,-0.02,-0.13999999999999999,-0.07999999999999999,12.500000000000004
L_Putamen,0.016666666666666666,-0.03666666666666666,-0.009999999999999997,31.25
L_Pallidum,0.04666666666666667,-0.05833333333333334,-0.005833333333333336,44.44444444444444
L_Hippocampus,-0.24666666666666667,-0.20500000000000004,-0.22583333333333336,54.61254612546125
L_Amygdala,-0.15,-0.19499999999999998,-0.1725,43.47826086956522
L_Accumbens,-0.09666666666666666,-0.015,-0.05583333333333333,86.56716417910448
R_Thalamus,-0.17,-0.13,-0.15000000000000002,56.666666666666664
R_Caudate,-0.02333333333333333,-0.11,-0.06666666666666667,17.5
R_Putamen,0.030000000000000002,0.01,0.02,75.0
R_Pallidum,0.05333333333333334,-0.09666666666666668,-0.02166666666666667,35.55555555555555
R_Hippocampus,-0.2733333333333334,-0.18833333333333335,-0.23083333333333336,59.205776173285194
R_Amygdala,-0.15333333333333335,-0.135,-0.14416666666666667,53.17919075144509
R_Accumbens,-0.10666666666666667,-0.09000000000000001,-0.09833333333333334,54.23728813559322
