comparison,correlation_r
ADULTS_vs_CLUSTER_Psychotic,0.9722834454650942
ADULTS_vs_CLUSTER_Neurodevelopmental,0.7591762232257108
ADULTS_vs_CLUSTER_AN_OCD,0.8733044226667283
ADULTS_vs_CLUSTER_Mood_Anxiety,0.9069747057085397
