region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_33,-0.10251555555555555,-0.07333333333333333,-0.08792444444444444,58.29752818076126
CTX_34,-0.14505777777777779,-0.24833333333333332,-0.19669555555555557,36.87367957249217
CTX_35,-0.15426222222222222,-0.155,-0.1546311111111111,49.88071970567947
CTX_36,-0.06776666666666667,-0.043333333333333335,-0.05555,60.99609960996099
CTX_37,-0.14806555555555556,-0.20166666666666663,-0.1748661111111111,42.33683548365575
CTX_38,-0.0744,-0.07166666666666667,-0.07303333333333334,50.93564582382473
CTX_39,-0.0746411111111111,-0.02,-0.04732055555555555,78.86753466311328
CTX_40,-0.20714444444444446,-0.26833333333333337,-0.23773888888888892,43.56553641950786
CTX_41,-0.19969444444444445,-0.24666666666666667,-0.22318055555555555,44.7383160121974
CTX_42,-0.17769000000000001,-0.26333333333333336,-0.2205116666666667,40.290385240387884
CTX_43,-0.12966333333333335,-0.12666666666666668,-0.12816500000000003,50.58453295881611
CTX_44,-0.14176222222222223,-0.14333333333333334,-0.14254777777777777,49.724458855900174
CTX_45,-0.14331,-0.17499999999999996,-0.159155,45.0221482202884
CTX_46,-0.13930555555555557,-0.10000000000000002,-0.1196527777777778,58.212420197330225
CTX_47,-0.1338933333333333,-0.12666666666666668,-0.13028,51.38675672909629
CTX_48,-0.17770000000000002,-0.23500000000000001,-0.20635000000000003,43.057911315725704
CTX_49,-0.08661444444444442,-0.10666666666666667,-0.09664055555555555,44.81267928693382
CTX_50,-0.15449555555555558,-0.20666666666666667,-0.18058111111111114,42.777329977910824
CTX_51,-0.15941111111111111,-0.18166666666666667,-0.1705388888888889,46.73746620190898
CTX_52,-0.12720555555555554,-0.07333333333333333,-0.10026944444444444,63.43186414383467
CTX_53,-0.14680444444444443,-0.11833333333333335,-0.1325688888888889,55.36911626659513
CTX_54,-0.0059311111111111075,-0.043333333333333335,-0.024632222222222222,12.039334205421978
CTX_55,-0.09935333333333332,-0.09000000000000001,-0.09467666666666666,52.469809527162624
CTX_56,-0.15012666666666666,-0.20166666666666666,-0.17589666666666665,42.67467641986773
CTX_57,-0.1326577777777778,-0.215,-0.1738288888888889,38.157575137747216
CTX_58,-0.18699777777777776,-0.18333333333333335,-0.18516555555555556,50.49475244375904
CTX_59,-0.05353111111111111,-0.18000000000000002,-0.11676555555555557,22.922475235276764
CTX_60,-0.12916777777777777,-0.17333333333333334,-0.15125055555555555,42.6999349864647
CTX_61,-0.16551666666666667,-0.24166666666666667,-0.20359166666666667,40.64917522819369
CTX_62,-0.15684444444444445,-0.20666666666666667,-0.18175555555555556,43.147083995598486
CTX_63,-0.16341111111111112,-0.22666666666666668,-0.1950388888888889,41.891930384253854
CTX_64,-0.18115777777777778,-0.2283333333333333,-0.20474555555555554,44.23973387022375
CTX_65,-0.07754888888888889,-0.09166666666666666,-0.08460777777777778,45.82846336690874
