;SUD;ALC;ATS;CAN;COC;NIC;OPI
BD;0.00019998;0.0009999;0.00019998;0.0009999;0.00219978;0.0029997;0.160383962
MDD;0.781921808;0.699530047;0.159384062;0.531546845;0.591140886;0.947705229;0.500349965
