X;Y;r_spin;z_spin;p_spin;r_brainsmash;z_brainsmash;p_brainsmash;p_fdr_spin;p_fdr_brainsmash
FC_GRADIENT;ATROPHY;0.107759981;0.786281438;0.416158384;0.107759981;0.826602943;0.413558644;0.758524148;0.750724928
MPC_GRADIENT;ATROPHY;0.041335694;0.30204981;0.758524148;0.041335694;0.318898949;0.750724928;0.758524148;0.750724928
